# VGA Palette File (Red, Green, Blue)
0x23, 0x27, 0x2A # Black
0x46, 0x82, 0xB4 # Blue
0x67, 0xB3, 0x37 # Green
0x68, 0x9D, 0x6A # Cyan
0xDC, 0x14, 0x3C # Red
0xD1, 0x26, 0x73 # Magenta
0xA3, 0x4E, 0x12 # Brown (Dark Yellow)
0x91, 0xA3, 0xBA # Light Gray
0x35, 0x39, 0x3D # Dark Gray (Gray)
0x83, 0xa5, 0x98 # Light Blue
0xB8, 0xBB, 0x26 # Light Green
0x8E, 0xC0, 0x7C # Light Cyan
0xFB, 0x49, 0x34 # Light Red
0xD3, 0x86, 0x9B # Pink (Light Magenta)
0xFA, 0xBD, 0x2F # Yellow (Light Yellow)
0xFB, 0xF1, 0xC7 # White
